id,age
1,48.331878662109375
2,26.906007766723633
3,28.8858642578125
4,22.28900718688965
5,26.535892486572266
6,28.816030502319336
7,54.70061492919922
8,28.013671875
9,38.19977569580078
10,26.525104522705078
11,44.527828216552734
12,21.399520874023438
13,27.177165985107422
14,47.3683967590332
15,26.290912628173828
16,15.83836841583252
17,41.02851104736328
18,41.119747161865234
19,45.709068298339844
20,23.8078556060791
21,52.12403869628906
22,44.08540725708008
23,37.522666931152344
24,58.88445281982422
25,52.720787048339844
26,60.33992004394531
27,39.63138961791992
28,37.491512298583984
